year,title,company_name,language,event_type,performance_start_date,performance_end_date,venue_block_number,venue_street_name,venue_floor_number,venue_unit_number,venue_building_name,synopsis,rating_decision,consumer_advice
2018,THE IMMORTAL SOLE,THE NECESSARY STAGE LTD,ENGLISH,Dance,17/01/18,20/01/18,1,ESPLANADE DRIVE,4,na,ESPLANADE - THEATRES ON THE BAY,Indoor contemporary dance performance.,General,na
2018,CONVERGENCE,CONVERGE STUDIOS LLP,ENGLISH,Dance,20/01/18,21/01/18,3615,JALAN BUKIT MERAH,na,na,GATEWAY THEATRE,"An indoor street dance, funk and jazz dance recital.",General,na
2018,SINGAPORE INTERNATIONAL FESTIVAL OF THE ARTS (SIFA)OCD LOVE,ARTS HOUSE LTD.,ENGLISH,Dance,5/5/2018,6/5/2018,1,ZUBIR SAID DRIVE,na,na,na,"An indoor contemporary dance performance which explores obsessive-compulsive disorder (OCD) and performed by L-E-V, an international dance company.",Advisory,Some Mature Content
2018,LEAP 2018,FRONTIER DANCELAND LTD.,ENGLISH,Dance,2/2/2018,3/2/2018,90,GOODMAN ROAD,1,51,GOODMAN ARTS CENTRE,Indoor contemporary dance event featuring 6 dance performances.,General,na
2018,SINGAPORE INTERNATIONAL FESTIVAL OF THE ARTS (SIFA) - THE BLUES PROJECT BY DORRANCE DANCE FT. TOSHI REAGON & THE BIG LOVELY (USA),ARTS HOUSE LTD.,ENGLISH,Dance,8/5/2018,9/5/2018,9,EMPRESS PLACE,na,na,VICTORIA THEATRE,An indoor tap dance performance with live singing by Toshi Reagon and her band.,General,na
2018,SINGAPORE INTERNATIONAL FESTIVAL OF THE ARTS (SIFA) - PLAYLIST # 1,ARTS HOUSE LTD.,OTHERS,Dance,9/5/2018,10/5/2018,1,ZUBIR SAID DRIVE,na,na,na,"“SIFA – Playlist #1” is a dance performance by the Ballet Preljocaj, a leading French contemporary dance company founded in 1984 by dancer and choreographer, Angelin Preljocaj.",Advisory 16,Some Nudity
2018,POPEYES ACTIVATION,LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,10/2/2018,11/2/2018,na,na,na,na,na,"""Popeyes Activation"" is an event presented by Popeye's to announce their Chinese New Year promotion with a live dance performance, accompanied by a rooster mascot.",General,na
2018,DANCE IMAGE 2018,WU YUE DANCE STUDIO ARTS TROUPE,CHINESE,Dance,26/05/18,27/05/18,1,ZUBIR SAID DRIVE,na,na,na,An indoor modern and traditional Chinese dance recital.,General,na
2018,X & Y,RAW MOVES LTD.,ENGLISH,Dance,5/4/2018,7/4/2018,28,ALIWAL STREET,na,na,na,An indoor contemporary dance performance.,General,na
2018,POP-UP DUETS,ARTS HOUSE LTD.,ENGLISH,Dance,26/04/18,29/04/18,na,na,na,na,na,"""Pop-Up Duets"" is a series of eight dance duets that draws on the theme of love. Performed outdoors, the dance duets seek to bring high-quality dance to public places for the unsuspecting audience.",General,na
2018,LION DANCE PERFORMANCE,MARINA BAY SANDS PTE. LTD.,CHINESE,Dance,18/02/18,18/02/18,10,BAYFRONT AVENUE,na,na,MARINA BAY SANDS,A traditional lion dance performance with more than two lions.,General,na
2018,SET APART,ELIZABETH KOW,ENGLISH,Dance,24/03/18,25/03/18,11,UPPER WILKIE ROAD,na,na,na,"“Set Apart” is a dance performance revolving around the concept of taboo. The performance explores “the relationships that are formed with (taboo) by human individuals, how humans abide by them, reinforce their values, or rebel against them… (and) this is done from the perspective of human development – how these occur from when we are children, to when we are adults”.",Advisory 16,Some Coarse Language
2018,KING OF THE STREET,POLARITY PTE. LTD.,ENGLISH,Dance,10/2/2018,10/2/2018,28,ALIWAL STREET,na,na,na,An indoor street dance competition.,General,na
2018,XTRAORDINARY FEMALE SOLOS (ASIA & EUROPE),ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,6/4/2018,7/4/2018,na,EMPRESS PLACE,na,na,VICTORIA THEATRE,Dance performance choreographed and performed by Odyssey Dance Theatre and International Female Dance Artists.,General,na
2018,"LOVER'S TEARS, OPENING EVENT OF DANZINC INTERNATIONAL DANCERS & CHOREOGRAPHERS' RESIDENCY FESTIVAL",ODYSSEY DANCE THEATRE LTD,ENGLISH,Dance,30/06/18,30/06/18,2,SIMS CLOSE,7,6,GEMINI @ SIMS,"""Lover's Tears"", a dance performance by Odyssey Dance Theatre Ltd, will be the opening event for the DanzINC  International Dancers and Choreographers Festival.",General,na
2018,PRE-WED PROPOSAL,"ANG DONG SHENG, JOHNSON",ENGLISH,Dance,1/2/2018,1/2/2018,10,AIRPORT BOULEVARD,na,na,CHANGI AIRPORT TERMINAL 4,Indoor flash mobs and singing performance.,General,na
2018,MARA - THE MASTERMIND,ARTE COMPASS PTE. LTD.,ENGLISH,Dance,24/03/18,25/03/18,na,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,An Indian traditional dance performance paired with traditional and modern instruments and experimental staging.,General,na
2018,SOUL SIGNATURE PRESENTS FOREGROUND,MOHAMAD SUFRI BIN JUWAHIR,ENGLISH,Dance,5/5/2018,6/5/2018,45,ARMENIAN STREET,na,na,na,An indoor modern and contemporary dance performance featuring four dances.,General,na
2018,TRDO YOUTH LEAGUE FEST 2018: SOLO.TRIO FINALS,TRDO LTD.,ENGLISH,Dance,17/03/18,17/03/18,na,CLEMENTI ROAD,na,na,na,Dance competition.,General,na
2018,DYNAMIC YUNNAN,SINOQUEST PTE. LTD.,CHINESE,Dance,9/3/2018,11/3/2018,1,ESPLANADE DRIVE,na,na,ESPLANADE - THEATRES ON THE BAY,An indoor dance performance showcasing ethnic and traditional dance from Yunnan presented with fusion of modern and contemporary dance choreography.,General,na
2018,BALLET UNDER THE STARS,SINGAPORE DANCE THEATRE LIMITED,ENGLISH,Dance,31/08/18,9/9/2018,na,na,na,na,na,"""Ballet Under the Stars"" is an annual outdoor event held at Fort Canning Green. Currently in its 23rd year, and in celebration of SDT's 30th Anniversary, the event will showcase works by the ""father of Amercian Ballet"", George Balanchine as well as renowned Singaporean choreographer, Choo-San Goh.",General,na
2018,TVB BIG BIG CHANNEL ROVING,GOLD TOUCH PTE. LTD.,CHINESE,Dance,9/3/2018,9/3/2018,na,WOODLANDS SQUARE,na,na,CAUSEWAY POINT,Indoor flash mob dance event.,General,na
2018,TVB BIG BIG CHANNEL ROVING,GOLD TOUCH PTE. LTD.,CHINESE,Dance,9/3/2018,9/3/2018,2,ORCHARD TURN,na,na,ION ORCHARD,Indoor flash mob dance event.,General,na
2018,TVB BIG BIG CHANNEL ROVING,GOLD TOUCH PTE. LTD.,CHINESE,Dance,9/3/2018,9/3/2018,80,MIDDLE ROAD,na,na,na,Indoor flash mob dance event.,General,na
2018,TVB BIG BIG CHANNEL ROVING,GOLD TOUCH PTE. LTD.,CHINESE,Dance,9/3/2018,9/3/2018,na,TAMPINES CENTRAL 5,na,na,TAMPINES MALL,Indoor flash mob dance performance.,General,na
2018,"DANCESCAPE VII, ICANCER-VIVE TOO",DANCESCAPE (SINGAPORE),ENGLISH,Dance,1/6/2018,2/6/2018,100,VICTORIA STREET,na,na,NATIONAL LIBRARY BUILDING,Indoor contemporary dance performance.,General,na
2018,MARKSMAN VOL.2,"HO KUAN MENG, NICHOLAS",ENGLISH,Dance,2/6/2018,2/6/2018,na,ALIWAL STREET,na,na,na,"Indoor event featuring popping dance battles, where dancers pit their dance skills against one another for the championship title.",General,na
2018,RELIGIOUS BLESSINGS FOR JADE EMPEROR PRAYING,TAY SIEW LUAN YVONNE,CHINESE,Dance,26/04/18,27/04/18,na,RIVERVALE CRESCENT,HAA,na,RIVERVALE VIEW,Outdoor event including prayers and lion dance.,General,na
2018,NGOPI,P7:1SMA LTD.,ENGLISH,Dance,28/03/18,31/03/18,na,VICTORIA STREET,3,1,NATIONAL LIBRARY BUILDING,An indoor modern and contemporary dance performance.,General,na
2018,POPEYES DAY,LOUISIANA QSR PTE. LTD.,ENGLISH,Dance,15/04/18,15/04/18,na,na,na,na,na,"""Popeyes Day"" is a publicity event to promote the brand, Popeyes.",General,na
